OriginalCityStateID,NewCityStateID,City,OriginalState,NewState,MatchValue
oaklandpa,oaklandpa,oakland,PA,PA,100.0
farnamne,farnamnd,farnam,NE,ND,83.33333333333334
monroviaca,monroviaca,monrovia,CA,CA,100.0
endewllny,endewllny,endewll,NY,NY,85.71428571428571
templetx,templetx,temple,TX,TX,100.0
lockneytx,lockneytx,lockney,TX,TX,100.0
cassodyks,cassodyca,cassody,KS,CA,83.33333333333334
southlinevilleamo,southlinevilleil,south lineville,AMO,IL,81.81818181818183
luism.cintronpr,luism.cintronpr,luis m. cintron,PR,PR,100.0
orchardswa,orchardswa,orchards,WA,WA,100.0
antonchiconm,antonchiconm,anton chico,NM,NM,90.5
austinar,austinar,austin,AR,AR,100.0
rossoh,rossoh,ross,OH,OH,100.0
yorktownin,yorktownin,yorktown,IN,IN,100.0
fredericksburgpa,fredericksburgpa,fredericksburg,PA,PA,100.0
hernandof,hernandofl,hernando,F,FL,100.0
wataugatx,wataugatx,watauga,TX,TX,100.0
wheatonmo,wheatonil,wheaton,MO,IL,100.0
folwingspringsaz,folwingspringsnc,folwing springs,AZ,NC,86.66666666666667
raoulga,raoulga,raoul,GA,GA,100.0
daingerfieldt,daingerfieldtx,daingerfield,T,TX,100.0
roysecitymtx,roysecitymtx,royse citym,TX,TX,90.5
monturafl,monturaca,montura,FL,CA,85.71428571428571
carbonadowa,carbonadowa,carbonado,WA,WA,83.33333333333334
sagharborny,sagharborny,sag harbor,NY,NY,100.0
fortchiswellva,fortchiswellky,fort chiswell,VA,KY,76.92307692307693
indianshoresfl,indianshoresfl,indian shores,FL,FL,100.0
holbrookny,holbrookny,holbrook,NY,NY,100.0
pecktonvillemd,pecktonvilleal,pecktonville,MD,AL,75.0
tablerocka,tablerockco,table rock,A,CO,81.81818181818183
fortoglethorpegar,fortoglethorpega,fort oglethorpe,GAR,GA,100.0
mustangtx,mustangok,mustang,TX,OK,100.0
tanacrossak,tanacrossme,tanacross,AK,ME,90.5
eldoradohillsca,eldoradohillsca,el dorado hills,CA,CA,100.0
phenixcityal,phenixcityal,phenix city,AL,AL,100.0
usffielddepotct,usffielddepotct,usffield depot,CT,CT,92.85714285714286
ashlnadks,ashlnadks,ashlnad,KS,KS,85.71428571428571
southjoroanut,southjoroanut,south joroan,UT,UT,91.66666666666666
eastbernstadtky,eastbernstadtpa,east bernstadt,KY,PA,81.81818181818183
woburnma,woburnma,woburn,MA,MA,100.0
lakelandsouthwa,lakelandsouthwa,lakeland south,WA,WA,100.0
grangermo,grangerin,granger,MO,IN,100.0
dewittmo,dewittar,de witt,MO,AR,100.0
pantopsva,pantopsva,pantops,VA,VA,100.0
rockyboywestmt,rockyboywesttn,rocky boy west,MT,TN,77.77777777777779
fessendennd,fessendennd,fessenden,ND,ND,100.0
emadco,emadco,emad,CO,CO,75.0
quimbysia,quimbyca,quimby,SIA,CA,66.66666666666666
florencedin,florencedal,florenced,IN,AL,90.5
daltonwi,daltonga,dalton,WI,GA,100.0
bellmeadtx,bellmeadtx,bellmead,TX,TX,100.0
westbenia,westbentx,west ben,IA,TX,90.5
athensoh,athensoh,athens,OH,OH,100.0
terrytownla,terrytownla,terrytown,LA,LA,100.0
elmwoodparknj,elmwoodparknj,elmwood park,NJ,NJ,100.0
bourbonnaisil,bourbonnaisil,bourbonnais,IL,IL,100.0
sabinmn,sabinoh,sabin,MN,OH,83.33333333333334
ridgewoodheightsfl,ridgewoodheightsfl,ridge wood heights,FL,FL,100.0
solonia,solonia,solon,IA,IA,100.0
husliaak,husliaid,huslia,AK,ID,75.0
albanymn,albanymn,albany,MN,MN,100.0
powhattanks,powhattantx,powhattan,KS,TX,75.0
lindencu,lindenal,linden,CU,AL,100.0
wahnetafl,wahnetafl,wahneta,FL,FL,100.0
quincyfl,quincyfl,quincy,FL,FL,100.0
laughlinnv,laughlinnv,laughlin,NV,NV,100.0
cornishok,cornishme,cornish,OK,ME,100.0
bloomsburynj,bloomsburypa,bloomsbury,NJ,PA,90.0
cantonsd,cantonsd,canton,SD,SD,100.0
fredericksburgva,fredericksburgva,fredericksburg,VA,VA,100.0
lakemaryronanmt,lakemaryronanfl,lake mary ronan,MT,FL,90.5
perkinsok,perkinsok,perkins,OK,OK,100.0
volcanohi,volcanohi,volcano,HI,HI,100.0
cralvilleia,cralvilleia,cralville,IA,IA,90.0
reddellla,reddellme,reddell,LA,ME,100.0
bouseaz,bouseid,bouse,AZ,ID,80.0
hardya,hardyar,hardy,A,AR,75.0
wavelandms,wavelandms,waveland,MS,MS,100.0
suttonsbaymi,suttonsbayla,suttons bay,MI,LA,90.5
cheverlymd,cheverlymd,cheverly,MD,MD,100.0
bentleyil,bentleyil,bentley,IL,IL,85.71428571428571
paradisetx,paradiseca,paradise,TX,CA,100.0
columbusil,columbusga,columbus,IL,GA,100.0
owensburgin,owensburgin,owensburg,IN,IN,80.0
kimballtn,kimballtn,kimball,TN,TN,100.0
meadvillems,meadvillems,meadville,MS,MS,100.0
pontotocs,pontotocms,pontotoc,S,MS,100.0
huntsvilleoh,huntsvilleal,huntsville,OH,AL,100.0
rockspringswi,rockspringstx,rocksprings,WI,TX,100.0
robstawntx,robstawntx,robstawn,TX,TX,87.5
cambridgeid,cambridgeil,cambridge,ID,IL,100.0
fairmountga,fairmountin,fairmount,GA,IN,100.0
lockingtonoh,lockingtonca,lockington,OH,CA,85.71428571428571
pacificjunctionia,pacificjunctionmo,pacific junction,IA,MO,90.5
bridgecityla,bridgecityla,bridge city,LA,LA,100.0
millerscreeknc,millerscreeknc,millers creek,NC,NC,100.0
springbrookia,springbrookoh,springbrook,IA,OH,90.5
killeentxm,killeentx,killeen,TXM,TX,100.0
clevelandga,clevelandga,cleveland,GA,GA,100.0
keedysvillemd,keedysvillemd,keedysville,MD,MD,100.0
dorringtonca,dorringtonct,dorrington,CA,CT,90.0
carbondaelil,carbondaelil,carbondael,IL,IL,90.0
knollwoodtx,knollwoodil,knollwood,TX,IL,100.0
copiagueny,copiagueny,copiague,NY,NY,100.0
eldersburgmd,eldersburgmd,eldersburg,MD,MD,100.0
oclumbiamo,oclumbiamo,oclumbia,MO,MO,87.5
elcenizotx,elcenizotx,el cenizo,TX,TX,100.0
dospalosca,dospalosca,dos palos,CA,CA,100.0
pepeekeohi,pepeekeohi,pepeekeo,HI,HI,100.0
southsangabrielca,southsangabrielca,south san gabriel,CA,CA,100.0
nashvilleil,nashvilleil,nashville,IL,IL,100.0
devillela,devillela,deville,LA,LA,100.0
makotind,makotifl,makoti,ND,FL,75.0
perrymanmd,perrymanmd,perryman,MD,MD,100.0
yelmwa,yelmwa,yelm,WA,WA,100.0
crystallawnsil,crystallawnsil,crystal lawns,IL,IL,100.0
richmondva,richmondva,richmond,VA,VA,100.0
wheatleyar,wheatleyfl,wheatley,AR,FL,71.42857142857143
suitlandmd,suitlandmd,suitland,MD,MD,100.0
sanacacianm,sanacacianj,san acacia,NM,NJ,83.33333333333334
stratfordd,stratfordca,stratford,D,CA,100.0
andoversd,andoverfl,andover,SD,FL,100.0
scarvlleia,scarvlleny,scarvlle,IA,NY,77.77777777777779
boykinga,boykintx,boykin,GA,TX,75.0
gravoismillsmo,gravoismillsor,gravois mills,MO,OR,85.71428571428571
goldendalewa,goldendalewa,goldendale,WA,WA,100.0
whitehorsenj,whitehorsenj,white horse,NJ,NJ,100.0
newpraguemn,newpraguemn,new prague,MN,MN,100.0
griffithin,griffithin,griffith,IN,IN,100.0
bowmansc,bowmannd,bowman,SC,ND,100.0
lesteral,lesternj,lester,AL,NJ,85.71428571428571
ardmoretn,ardmoretn,ardmore,TN,TN,100.0
shamrocklakesin,shamrocklakestx,shamrock lakes,IN,TX,90.5
woodburnor,woodburnor,woodburn,OR,OR,100.0
torypa,torypa,tory,PA,PA,75.0
battlecreekmi,battlecreekmi,battle creek,MI,MI,100.0
ocoomowocwi,ocoomowocaz,ocoomowoc,WI,AZ,90.5
hmletne,hmletnc,hmlet,NE,NC,83.33333333333334
bentonia,bentonar,benton,IA,AR,100.0
huntingtonsttionny,huntingtonsttionny,huntington sttion,NY,NY,94.44444444444444
blountvilletn,blountvilletn,blountville,TN,TN,100.0
lagroin,lagrofl,lagro,IN,FL,80.0
ahrmonil,ahrmonma,ahrmon,IL,MA,83.33333333333334
alineok,alineca,aline,OK,CA,83.33333333333334
shellvalleynd,shellvalleynd,shell valley,ND,ND,100.0
kempsmillmd,kempsmilltx,kemps mill,MD,TX,90.5
menaar,menaar,mena,AR,AR,100.0
rutherfordtn,rutherfordtn,rutherford,TN,TN,100.0
robbisntn,robbisnil,robbisn,TN,IL,85.71428571428571
beltonsc,beltonsc,belton,SC,SC,100.0
reformal,reformal,reform,AL,AL,100.0
lajoyatx,lajoyatx,la joya,TX,TX,100.0
delawreoh,delawreoh,delawre,OH,OH,87.5
clintonil,clintonil,clinton,IL,IL,100.0
genolamn,genolaut,genola,MN,UT,100.0
emporiumpa,emporiumpa,emporium,PA,PA,100.0
fordlandjo,fordlandct,fordland,JO,CT,87.5
sumerhavenaz,sumerhavenil,sumerhaven,AZ,IL,83.33333333333334
castinoho,castinme,castin,OHO,ME,85.71428571428571
wautomawia,wautomawi,wautoma,WIA,WI,100.0
montereyla,montereyca,monterey,LA,CA,100.0
hartfordwi,hartfordwi,hartford,WI,WI,100.0
seasideheightsn,seasideheightsnj,seaside heights,N,NJ,100.0
eastportme,eastportme,eastport,ME,ME,100.0
greenvaleny,greenvaleny,greenvale,NY,NY,100.0
edonoh,edonmo,edon,OH,MO,80.0
janelewwv,janelewla,jane lew,WV,LA,75.0
neworleansla,neworleansla,new orleans,LA,LA,100.0
springmillky,springmillfl,spring mill,KY,FL,90.9090909090909
nuterfortwv,nuterfortwv,nuter fort,WV,WV,90.9090909090909
myrtlenm,myrtletx,myrtle,NM,TX,75.0
troyal,troyal,troy,AL,AL,100.0
skylinemn,skylinefl,skyline,MN,FL,66.66666666666666
pennsgrovenj,pennsgrovenj,penns grove,NJ,NJ,100.0
collinwoodtn,collinwoodoh,collinwood,TN,OH,100.0
sentinelbuttend,sentinelbuttefl,sentinel butte,ND,FL,90.5
glencivemt,glencivemt,glencive,MT,MT,87.5
pattresonga,pattresonca,pattreson,GA,CA,88.88888888888889
mcadetx,mcadega,mcade,TX,GA,80.0
glenechod,glenechoal,glen echo,D,AL,71.42857142857143
millercityoh,millercitysd,miller city,OH,SD,90.5
lindonut,lindonut,lindon,UT,UT,100.0
westvillefl,westvilleil,westville,FL,IL,100.0
naguabopr,naguabopr,naguabo,PR,PR,100.0
emmetars,emmetca,emmet,ARS,CA,100.0
birnamwoodwi,birnamwoodil,birnamwood,WI,IL,71.42857142857143
univervitymc,univervityfl,univervity,MC,FL,90.0
beevilletx,beevilletx,beeville,TX,TX,100.0
riohondotx,riohondotx,rio hondo,TX,TX,100.0
highlandoh,highlandar,highland,OH,AR,100.0
ferdinandid,ferdinandin,ferdinand,ID,IN,100.0
armingtonil,armingtonil,armington,IL,IL,90.0
riversidemo,riversidemo,riverside,MO,MO,100.0
vadnaisheightsmv,vadnaisheightsmn,vadnais heights,MV,MN,100.0
evansmillsny,evansmillsco,evans mills,NY,CO,90.5
poleojeapr,poleojeapr,pole ojea,PR,PR,100.0
westcarthageny,westcarthageny,west carthage,NY,NY,100.0
selahaa,selahwa,selah,AA,WA,100.0
tintonfallsnj,tintonfallsnj,tinton falls,NJ,NJ,100.0
campobellosc,campobelloca,campobello,SC,CA,90.5
powhatanla,powhatanmo,powhatan,LA,MO,75.0
shongopoviaz,shongopovinj,shongopovi,AZ,NJ,75.0
mocksvillenc,mocksvillenc,mocksville,NC,NC,100.0
granitevilleca,granitevilleny,graniteville,CA,NY,100.0
langisburgpa,langisburgmi,langisburg,PA,MI,90.0
gumspringsar,gumspringsar,gum springs,AR,AR,81.81818181818183
charlottehallmd,charlottehallmd,charlotte hall,MD,MD,100.0
dilleytx,dilleytx,dilley,TX,TX,100.0
mountauburnin,mountauburnmn,mount auburn,IN,MN,80.0
westhamptonbeachny,westhamptonbeachny,westhampton beach,NY,NY,100.0
macedoniail,macedoniaoh,macedonia,IL,OH,100.0
mchenrynd,mchenryil,mchenry,ND,IL,100.0
joobspr,joobsaz,joobs,PR,AZ,90.5
jacksonburgoh,jacksonburgoh,jacksonburg,OH,OH,90.5
wocottvillen,wocottvillein,wocottville,N,IN,91.66666666666666
fairlnadm,fairlnadmd,fairlnad,M,MD,87.5
norwalkca,norwalkca,norwalk,CA,CA,100.0
folosmpa,folosmpa,folosm,PA,PA,83.33333333333334
broadviewheightsoh,broadviewheightsoh,broadview heights,OH,OH,100.0
stroudsburgpa,stroudsburgpa,stroudsburg,PA,PA,100.0
wataugatnc,wataugatx,watauga,TNC,TX,100.0
templevillemd,templevillega,templeville,MD,GA,90.5
bluebellut,bluebellpa,bluebell,UT,PA,88.88888888888889
fellsburgpa,fellsburgpa,fellsburg,PA,PA,100.0
ovidco,ovidmi,ovid,CO,MI,100.0
mountcahemll,mountcahemlil,mount caheml,L,IL,83.33333333333334
losangelesca,losangelesca,los angeles,CA,CA,100.0
cowlingtonok,cowlingtonal,cowlington,OK,AL,85.71428571428571
zayfieldpa,zayfieldpa,zayfield,PA,PA,87.5
clevelandtn,clevelandtn,cleveland,TN,TN,100.0
lynndylut,lynndylin,lynndyl,UT,IN,90.5
nescatungaok,nescatungaok,nescatunga,OK,OK,66.66666666666666
towercitynd,towercitypa,tower city,ND,PA,100.0
shiprocknm,shiprocknm,shiprock,NM,NM,100.0
webbcitymo,webbcitymo,webb city,MO,MO,100.0
cambridgeid,cambridgeil,cambridge,ID,IL,100.0
mulleswv,mulleswv,mulles,WV,WV,85.71428571428571
mountainburgar,mountainburgco,mountainburg,AR,CO,87.5
maamecok,maamecla,maamec,OK,LA,90.5
beltonsc,beltonsc,belton,SC,SC,100.0
buckmeadowsca,buckmeadowswi,buck meadows,CA,WI,75.0
springhillfl,springhillfl,spring hill,FL,FL,100.0
northboroia,northboroil,northboro,IA,IL,80.0
frankfortil,frankfortil,frankfort,IL,IL,100.0
piquaoh,piquaoh,piqua,OH,OH,100.0
commercetx,commercetx,commerce,TX,TX,100.0
valleybendwv,valleybendal,valley bend,WV,AL,90.5
swanquarternc,swanquarterdc,swan quarter,NC,DC,75.0
cehomn,cehoak,ceho,MN,AK,80.0
lrattvilleal,lrattvilleal,lrattville,AL,AL,90.0
templetonia,templetonca,templeton,IA,CA,100.0
mcdonaldks,mcdonaldoh,mcdonald,KS,OH,100.0
viennacenteroh,viennacenterga,vienna center,OH,GA,90.5
ladoraia,ladoraia,ladora,IA,IA,100.0
cowpenss,cowpenssc,cowpens,S,SC,100.0
sanisidrotx,sanisidronm,san isidro,TX,NM,100.0
ferndalemd,ferndalemd,ferndale,MD,MD,100.0
westwegola,westwegola,westwego,LA,LA,100.0
johnstonsc,johnstonsc,johnston,SC,SC,100.0
jenkinsburgga,jenkinsburgky,jenkinsburg,GA,KY,90.5
kingmantaz,kingmanaz,kingman,TAZ,AZ,100.0
lakehamiltonar,lakehamiltonar,lake hamilton,AR,AR,100.0
caswellbeachnc,caswellbeachar,caswell beach,NC,AR,75.0
lafayetteal,lafayetteny,la fayette,AL,NY,80.0
pocawv,pocane,poca,WV,NE,80.0
connellyspringsnc,connellyspringsnc,connelly springs,NC,NC,100.0
southbrowningmt,southbrowningmt,south browning,MT,MT,100.0
t.xstephensnc,t.xstephensnc,t.xstephens,NC,NC,64.28571428571429
rutherfordcolelgenc,rutherfordcolelgenj,rutherfor dcolelge,NC,NJ,90.0
faribaultmn,faribaultmn,faribault,MN,MN,100.0
edgewoodpa,edgewoodpa,edgewood,PA,PA,100.0
camdenan,camdenal,camden,AN,AL,100.0
beattystownnj,beattystownnj,beattystown,NJ,NJ,100.0
sturgisky,sturgisky,sturgis,KY,KY,100.0
eastgrandrapidsmi,eastgrandrapidsmi,east grand rapids,MI,MI,100.0
gainesboroan,gainesborotn,gainesboro,AN,TN,100.0
genoalmn,genoalil,genoal,MN,IL,90.5
nowatad,nowataok,nowata,D,OK,100.0
ellisgrovewl,ellisgrovepa,ellis grove,WL,PA,90.9090909090909
soutdaytonny,soutdaytonfl,sout dayton,NY,FL,84.61538461538461
fortatkinsoniax,fortatkinsonwi,fort atkinson,IAX,WI,100.0
millcreekil,millcreekwa,mill creek,IL,WA,100.0
hutsonvilleil,hutsonvillemi,hutsonville,IL,MI,90.9090909090909
goldenvalleynd,goldenvalleyaz,golden valley,ND,AZ,100.0
hanovermd,hanovermd,hanover,MD,MD,100.0
marysvilleks,marysvilleks,marysville,KS,KS,100.0
buckinghamcourthouseva,buckinghamcourthouseva,buckingham courthouse,VA,VA,90.5
lukemd,lukewi,luke,MD,WI,75.0
arcaiaca,arcaiaca,arcaia,CA,CA,85.71428571428571
charteroakca,charteroakca,charter oak,CA,CA,100.0
toetervilleja,toetervilleca,toeterville,JA,CA,100.0
collegevillein,collegevillemn,collegeville,IN,MN,100.0
bataviail,bataviail,batavia,IL,IL,100.0
catawbaoh,catawbasc,catawba,OH,SC,100.0
merrifieldva,merrifieldva,merrifield,VA,VA,100.0
pexinnd,pexinil,pexin,ND,IL,80.0
shoshoneca,shoshoneid,shoshone,CA,ID,100.0
portsmouthnh,portsmouthnh,portsmouth,NH,NH,100.0
pinegrovemillszpa,pinegrovemillszpa,pine grove millsz,PA,PA,90.5
hollistermot,hollisterca,hollister,MOT,CA,100.0
claypoolhillva,claypoolhillva,claypool hill,VA,VA,100.0
parkersburgia,parkersburgia,parkersburg,IA,IA,100.0
lathropca,lathropca,lathrop,CA,CA,100.0
columbiams,columbiams,columbia,MS,MS,100.0
shadycovelr,shadycoveor,shady cove,LR,OR,100.0
wrightsvillear,wrightsvillear,wrightsville,AR,AR,100.0
islandcityor,islandcityor,island city,OR,OR,100.0
trespinosca,trespinosca,tres pinos,CA,CA,80.0
orlovistafl,orlovistafl,orlovista,FL,FL,100.0
southwestranchesfl,southwestranchesfl,southwest ranches,FL,FL,100.0
bstwickga,bstwickny,bstwick,GA,NY,75.0
oaklanmd,oaklanmd,oaklan,MD,MD,85.71428571428571
philcampbellal,philcampbellal,phil campbell,AL,AL,100.0
millikeneco,millikenco,milliken,ECO,CO,100.0
montereyparkca,montereyparkca,monterey park,CA,CA,100.0
minervaoh,minervaoh,minerva,OH,OH,100.0
dwyroseg,dwyroseny,dwy rose,G,NY,62.5
morrisonmo,morrisonil,morrison,MO,IL,100.0
sandovalil,sandovalil,sandoval,IL,IL,100.0
lilylakewi,lilylakeil,lily lake,WI,IL,100.0
adairvillageor,adairvillagemo,adair village,OR,MO,92.3076923076923
terrelltx,terrelltx,terrell,TX,TX,100.0
ewburgmo,ewburgky,ewburg,MO,KY,85.71428571428571
pagene,pageaz,page,NE,AZ,100.0
wnataghny,wnataghny,wnatagh,NY,NY,100.0
medfordlakesnj,medfordlakesnj,medford lakes,NJ,NJ,100.0
portgibsons,portgibsonms,port gibson,S,MS,100.0
berniceok,bernicela,bernice,OK,LA,100.0
allgoodal,allgoodnm,allgood,AL,NM,90.5
dixonvillefl,dixonvilleca,dixonville,FL,CA,90.5
lorenzparkn,lorenzparkny,lorenz park,N,NY,100.0
hereheyne,hereheypa,herehey,NE,PA,100.0
laporteco,laporteco,laporte,CO,CO,100.0
hadleymn,hadleyma,hadley,MN,MA,100.0
hobofenjn,hobofennj,hobofen,JN,NJ,85.71428571428571
livingstonmt,livingstonmt,livingston,MT,MT,100.0
westpointin,westpointga,west point,IN,GA,100.0
etowahltn,etowahnc,etowah,LTN,NC,100.0
oopazranchestatesnvc,oopazranchestatesnv,oopaz ranch estates,NVC,NV,100.0
lintonvilleqpa,lintonvilleoh,lintonville,QPA,OH,91.66666666666666
alexandriasd,alexandriasd,alexandria,SD,SD,100.0
saltilloms,saltilloms,saltillo,MS,MS,100.0
haystx,haysks,hays,TX,KS,100.0
christopheril,christopheril,christopher,IL,IL,100.0
steptoewa,steptoepa,steptoe,WA,PA,83.33333333333334
herseymi,herseypa,hersey,MI,PA,85.71428571428571
evansvillein,evansvillein,evansville,IN,IN,100.0
catawbanc,catawbasc,catawba,NC,SC,100.0
aliced,alicetx,alice,D,TX,100.0
crescoia,crescoia,cresco,IA,IA,100.0
wallacesd,wallacefl,wallace,SD,FL,100.0
excelsiorspringsmo,excelsiorspringsmo,excelsior springs,MO,MO,100.0
strawnil,strawnid,strawn,IL,ID,75.0
istachattafl,istachattaca,istachatta,FL,CA,80.0
kachemakak,kachemakok,kachemak,AK,OK,80.0
fortbraggca,fortbraggca,fort bragg,CA,CA,100.0
whisperingpinesaz,whisperingpinesnc,whispering pines,AZ,NC,100.0
washingtonr,washingtonct,washington,R,CT,100.0
rocklandwi,rocklandme,rockland,WI,ME,100.0
evergreennc,evergreenal,evergreen,NC,AL,100.0
portallegaypa,portallegaypa,port allegay,PA,PA,92.3076923076923
arbutusmd,arbutusmd,arbutus,MD,MD,100.0
ellendalede,ellendaleca,ellendale,DE,CA,100.0
braddockhillspa,braddockhillspa,braddock hills,PA,PA,100.0
zendaks,zendany,zenda,KS,NY,75.0
northphilipsburgpa,northphilipsburgfl,north philipsburg,PA,FL,80.0
rosaliaea,rosaliafl,rosalia,EA,FL,80.0
franciscreekwi,franciscreekut,francis creek,WI,UT,90.5
eastenterprisein,eastenterprisear,east enterprise,IN,AR,87.5
ponczdeleonfl,ponczdeleonne,poncz de leon,FL,NE,80.0
fennimorei,fennimorewi,fennimore,I,WI,100.0
halseyne,halseyid,halsey,NE,ID,83.33333333333334
montgomerycitymo,montgomerycitymo,montgomery city,MO,MO,100.0
brunswickmd,brunswickmd,brunswick,MD,MD,100.0
greenfieldwi,greenfieldwi,greenfield,WI,WI,100.0
kutztownpa,kutztownpa,kutztown,PA,PA,100.0
roslynny,roslynny,roslyn,NY,NY,100.0
albertava,albertaal,alberta,VA,AL,85.71428571428571
pigeonfallswi,pigeonfallsmi,pigeonf alls,WI,MI,90.5
pearisburgva,pearisburgva,pearisburg,VA,VA,100.0
sprngvilleca,sprngvilleal,sprngville,CA,AL,90.9090909090909
wyndmerend,wyndmeretx,wyndmere,ND,TX,77.77777777777779
springhillfl,springhillfl,spring hill,FL,FL,100.0
doevalleyky,doevalleyky,doe valley,KY,KY,100.0
prospectrk,prospectct,prospect,RK,CT,100.0
scobeymt,scobeymt,scobey,MT,MT,100.0
suffolkva,suffolkva,suffolk,VA,VA,100.0
goliadtx,goliadtx,goliad,TX,TX,100.0
calexicoca,calexicoca,calexico,CA,CA,100.0
crystalmn,crystalmn,crystal,MN,MN,100.0
zumbrofallsmn,zumbrofallsmn,zumbro falls,MN,MN,75.0
lakerobertsnm,lakerobertsmd,lake roberts,NM,MD,90.0
babbmt,babbal,babb,MT,AL,100.0
mscowmd,mscowid,mscow,MD,ID,83.33333333333334
lewistonmn,lewistonmn,lewiston,MN,MN,100.0
manchestermi,manchestermi,manchester,MI,MI,100.0
eastontx,eastonca,easton,TX,CA,100.0
darlnigotnmd,darlnigotnms,darlnigotn,MD,MS,81.81818181818183
southashburnhamma,southashburnhamma,south ashburnham,MA,MA,100.0
algomams,algomawi,algoma,MS,WI,100.0
southhavenmn,southhavenin,south haven,MN,IN,100.0
penuelaspr,penuelaspr,penuelas,PR,PR,87.5
tatumsc,tatumtx,tatum,SC,TX,100.0
northpekinil,northpekinil,north pekin,IL,IL,100.0
rendvilleoh,rendvilleca,rendville,OH,CA,88.88888888888889
clarencepa,clarenceny,clarence,PA,NY,100.0
lonepineca,lonepineca,lone pine,CA,CA,100.0
depoebayoo,depoebayor,depoe bay,OO,OR,100.0
mcconnellafbks,mcconnellafbks,mcconnell afb,KS,KS,100.0
lakesideva,lakesideva,lakeside,VA,VA,100.0
middlesexnj,middlesexnj,middlesex,NJ,NJ,100.0
eastlakeoh,eastlakeoh,eastlake,OH,OH,100.0
ironrivermi,ironrivermi,iron river,MI,MI,100.0
southlapalomatx,southlapalomaca,south la paloma,TX,CA,80.0
saukrapidsmn,saukrapidsmn,sauk rapids,MN,MN,100.0
kanopolisks,kanopolisnc,kanopolis,KS,NC,90.0
ponderosapinesmt,ponderosapinesnm,ponderosa pines,MT,NM,90.5
fivepointsnc,fivepointsfl,five points,NC,FL,100.0
lillianar,lillianla,lillian,AR,LA,100.0
goldenbeachmd,goldenbeachmd,golden beach,MD,MD,100.0
laurelrunpa,laurelrunde,laurel run,PA,DE,90.5
orlandin,orlandca,orland,IN,CA,100.0
banningca,banningca,banning,CA,CA,100.0
wendellmn,wendellid,wendell,MN,ID,100.0
ramseymn,ramseymn,ramsey,MN,MN,100.0
newalexandriapa,newalexandriapa,new alexandria,PA,PA,81.81818181818183
wallawallawa,wallawallawa,walla walla,WA,WA,100.0
pleasanthillpa,pleasanthillpa,pleasant hill,PA,PA,100.0
readerar,readeroh,reader,AR,OH,85.71428571428571
newrichmondin,newrichmondoh,new richmond,IN,OH,100.0
hutchinsonmn,hutchinsonmn,hutchinson,MN,MN,100.0
washingtonga,washingtonga,washington,GA,GA,100.0
shrewsurypa,shrewsurypa,shrewsury,PA,PA,90.0
camppendletonorthca,camppendletonorthca,camp pendleto north,CA,CA,95.0
summitlakewi,summitlakeaz,summit lake,WI,AZ,90.5
crestwoodky,crestwoodky,crestwood,KY,KY,100.0
morgantownwv,morgantownwv,morgantown,WV,WV,100.0
schnecksvillepa,schnecksvillepa,schnecksville,PA,PA,100.0
harborisleny,harborisleny,harbor isle,NY,NY,100.0
newcaliforniaoh,newcaliforniaoh,new california,OH,OH,100.0
st.gabriella,st.gabrielca,st. gabriel,LA,CA,81.81818181818183
crystalbeachaz,crystalbeachmn,crystal beach,AZ,MN,90.5
oaksmo,oaksnd,oaks,MO,ND,80.0
e.lopeztx,e.lopezal,e. lopez,TX,AL,62.5
grandriversky,grandriversny,grand rivers,KY,NY,81.81818181818183
rutladil,rutladma,rutlad,IL,MA,85.71428571428571
dryprongla,dryprongne,dry prong,LA,NE,66.66666666666666
effighamks,effighamil,effigham,KS,IL,88.88888888888889
mariettaok,mariettaok,marietta,OK,OK,100.0
willowbrookil,willowbrookil,willowbrook,IL,IL,100.0
foxrivprka,foxrivprpa,fox rivpr,KA,PA,71.42857142857143
ilaga,ilaks,ila,GA,KS,75.0
lakestationin,lakestationin,lake station,IN,IN,100.0
oakhillsc,oakhillsca,oak hills,C,CA,100.0
montaguetx,montaguetx,montague,TX,TX,100.0
studybuttetx,studybutteco,study butte,TX,CO,69.23076923076923
cushmanar,cushmanal,cushman,AR,AL,71.42857142857143
postoakbendcitytx,postoakbendcitytx,post oak bend city,TX,TX,90.5
winterwi,winterca,winter,WI,CA,85.71428571428571
abbotsfordwh,abbotsfordwi,abbotsford,WH,WI,100.0
pinalaz,pinalaz,pinal,AZ,AZ,75.0
lockesburgar,lockesburgal,lockesburg,AR,AL,80.0
mathistonmz,mathistontx,mathiston,MZ,TX,90.5
owentonky,owentonky,owenton,KY,KY,100.0
meadbwlandspa,meadbwlandsco,meadbwlands,PA,CO,90.5
aehenawi,aehenaor,aehena,WI,OR,100.0
rossfoidho,rossfoidca,rossfoid,HO,CA,90.5
redbymn,redbymn,redby,MN,MN,100.0
redvaleco,redvaleca,redvale,CO,CA,75.0
st.charlesar,st.charlesil,st. charles,AR,IL,76.92307692307693
norwoodnc,norwoodnc,norwood,NC,NC,100.0
selmatx,selmatx,selma,TX,TX,100.0
freedomaok,freedomca,freedom,AOK,CA,100.0
harrisvilleri,harrisvilleri,harrisville,RI,RI,100.0
forrestonil,forrestonil,forreston,IL,IL,100.0
kellert,kellertx,keller,T,TX,100.0
oakmanal,oakmanma,oakman,AL,MA,83.33333333333334
marshfieldwi,marshfieldwi,marshfield,WI,WI,100.0
rjcklandwi,rjcklandme,rjckland,WI,ME,87.5
